BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;IMOEX;13.01.2011;Индекс МосБиржи;Индекс МосБиржи;1749,75;1759,46;1768,24;1743,72;68571842493;;;2;;RUB;;3;
SNDX;IMOEX;14.01.2011;Индекс МосБиржи;Индекс МосБиржи;1744,74;1749,75;1757,56;1731,84;48476878376;;;2;;RUB;;3;
SNDX;IMOEX;17.01.2011;Индекс МосБиржи;Индекс МосБиржи;1771,66;1745,15;1773,98;1745,15;52216104984;;;2;;RUB;;3;
SNDX;IMOEX;18.01.2011;Индекс МосБиржи;Индекс МосБиржи;1765,3;1771,69;1788,74;1754,86;65959951406;;;2;;RUB;;3;
SNDX;IMOEX;19.01.2011;Индекс МосБиржи;Индекс МосБиржи;1764,44;1765,3;1778,27;1760,23;49309630844;;;2;;RUB;;3;
SNDX;IMOEX;20.01.2011;Индекс МосБиржи;Индекс МосБиржи;1733,89;1764,31;1764,31;1732,89;54521497000;;;2;;RUB;;3;
SNDX;IMOEX;21.01.2011;Индекс МосБиржи;Индекс МосБиржи;1747,39;1733,89;1752,39;1723,85;60514703977;;;2;;RUB;;3;
SNDX;IMOEX;24.01.2011;Индекс МосБиржи;Индекс МосБиржи;1720,7;1747,39;1750,49;1705,11;54639982807;;;2;;RUB;;3;
SNDX;IMOEX;25.01.2011;Индекс МосБиржи;Индекс МосБиржи;1716,24;1720,7;1730,9;1709,66;51872359354;;;2;;RUB;;3;
SNDX;IMOEX;26.01.2011;Индекс МосБиржи;Индекс МосБиржи;1746,55;1716,24;1746,91;1716,24;60328289213;;;2;;RUB;;3;
SNDX;IMOEX;27.01.2011;Индекс МосБиржи;Индекс МосБиржи;1751,54;1746,55;1758,16;1738,15;82259988273;;;2;;RUB;;3;
SNDX;IMOEX;28.01.2011;Индекс МосБиржи;Индекс МосБиржи;1735,01;1751,47;1751,47;1730,67;50855031426;;;2;;RUB;;3;
SNDX;IMOEX;31.01.2011;Индекс МосБиржи;Индекс МосБиржи;1723,42;1734,93;1734,93;1705,46;54855712670;;;2;;RUB;;3;
SNDX;IMOEX;01.02.2011;Индекс МосБиржи;Индекс МосБиржи;1755,95;1723,45;1757,49;1723,45;67342752896;;;2;;RUB;;3;
SNDX;IMOEX;02.02.2011;Индекс МосБиржи;Индекс МосБиржи;1765,42;1755,95;1779,08;1755,84;83533533133;;;2;;RUB;;3;
SNDX;IMOEX;03.02.2011;Индекс МосБиржи;Индекс МосБиржи;1749,78;1765,43;1775,47;1746,78;54982522315;;;2;;RUB;;3;
SNDX;IMOEX;04.02.2011;Индекс МосБиржи;Индекс МосБиржи;1766,53;1749,78;1770,06;1749,78;62345648085;;;2;;RUB;;3;
SNDX;IMOEX;07.02.2011;Индекс МосБиржи;Индекс МосБиржи;1767,31;1766,53;1773,04;1745,29;49862522797;;;2;;RUB;;3;
SNDX;IMOEX;08.02.2011;Индекс МосБиржи;Индекс МосБиржи;1729,53;1767,31;1770,13;1729,09;72067823936;;;2;;RUB;;3;
SNDX;IMOEX;09.02.2011;Индекс МосБиржи;Индекс МосБиржи;1723,32;1729,53;1738,36;1713,36;58407116017;;;2;;RUB;;3;
SNDX;IMOEX;10.02.2011;Индекс МосБиржи;Индекс МосБиржи;1676,77;1723,32;1723,49;1675,95;68008445677;;;2;;RUB;;3;
SNDX;IMOEX;11.02.2011;Индекс МосБиржи;Индекс МосБиржи;1713,93;1676,77;1715,64;1673,95;77328726890;;;2;;RUB;;3;
SNDX;IMOEX;14.02.2011;Индекс МосБиржи;Индекс МосБиржи;1708,43;1714,09;1732,41;1703,72;56030671712;;;2;;RUB;;3;
SNDX;IMOEX;15.02.2011;Индекс МосБиржи;Индекс МосБиржи;1695,98;1708,45;1720,86;1693,17;56348529872;;;2;;RUB;;3;
SNDX;IMOEX;16.02.2011;Индекс МосБиржи;Индекс МосБиржи;1707,14;1695,98;1709,27;1688,39;63047418319;;;2;;RUB;;3;
SNDX;IMOEX;17.02.2011;Индекс МосБиржи;Индекс МосБиржи;1692,91;1707,14;1722,24;1692,32;51914585677;;;2;;RUB;;3;
SNDX;IMOEX;18.02.2011;Индекс МосБиржи;Индекс МосБиржи;1690,11;1692,95;1700,61;1680,91;45369008531;;;2;;RUB;;3;
SNDX;IMOEX;21.02.2011;Индекс МосБиржи;Индекс МосБиржи;1712,63;1690,09;1717,01;1683,78;44890073642;;;2;;RUB;;3;
SNDX;IMOEX;22.02.2011;Индекс МосБиржи;Индекс МосБиржи;1700,98;1712,63;1712,63;1682,46;55888919249;;;2;;RUB;;3;
SNDX;IMOEX;24.02.2011;Индекс МосБиржи;Индекс МосБиржи;1715,2;1700,98;1721,99;1687,63;89604477179;;;2;;RUB;;3;
SNDX;IMOEX;25.02.2011;Индекс МосБиржи;Индекс МосБиржи;1747,72;1715,2;1748,63;1713,88;64104225331;;;2;;RUB;;3;
SNDX;IMOEX;28.02.2011;Индекс МосБиржи;Индекс МосБиржи;1777,84;1747,72;1780,39;1743,16;65038463275;;;2;;RUB;;3;
SNDX;IMOEX;01.03.2011;Индекс МосБиржи;Индекс МосБиржи;1758,44;1777,84;1788,53;1753,13;68775635008;;;2;;RUB;;3;
SNDX;IMOEX;02.03.2011;Индекс МосБиржи;Индекс МосБиржи;1765,38;1758,44;1765,87;1746,11;53041005861;;;2;;RUB;;3;
SNDX;IMOEX;03.03.2011;Индекс МосБиржи;Индекс МосБиржи;1772,83;1765,38;1787,69;1765,38;58867033523;;;2;;RUB;;3;
SNDX;IMOEX;04.03.2011;Индекс МосБиржи;Индекс МосБиржи;1764,96;1772,83;1783,82;1758,63;44516203993;;;2;;RUB;;3;
SNDX;IMOEX;05.03.2011;Индекс МосБиржи;Индекс МосБиржи;1780,62;1764,96;1781,26;1763,3;15080022925;;;2;;RUB;;3;
SNDX;IMOEX;09.03.2011;Индекс МосБиржи;Индекс МосБиржи;1779,24;1780,63;1793,1;1769,81;56338074869;;;2;;RUB;;3;
SNDX;IMOEX;10.03.2011;Индекс МосБиржи;Индекс МосБиржи;1731,8;1779,14;1779,14;1730,45;63399382390;;;2;;RUB;;3;
SNDX;IMOEX;11.03.2011;Индекс МосБиржи;Индекс МосБиржи;1719,95;1731,8;1739,36;1712,35;65498953006;;;2;;RUB;;3;
SNDX;IMOEX;14.03.2011;Индекс МосБиржи;Индекс МосБиржи;1726,78;1719,95;1747,18;1706,88;74161259830;;;2;;RUB;;3;
SNDX;IMOEX;15.03.2011;Индекс МосБиржи;Индекс МосБиржи;1700,54;1726,78;1726,78;1681,08;1,03109E+11;;;2;;RUB;;3;
SNDX;IMOEX;16.03.2011;Индекс МосБиржи;Индекс МосБиржи;1705,18;1700,69;1732,79;1698,26;89637904698;;;2;;RUB;;3;
SNDX;IMOEX;17.03.2011;Индекс МосБиржи;Индекс МосБиржи;1737,62;1705,2;1739,89;1703,2;73087837511;;;2;;RUB;;3;
SNDX;IMOEX;18.03.2011;Индекс МосБиржи;Индекс МосБиржи;1747,32;1737,66;1753,39;1732,8;67341177848;;;2;;RUB;;3;
SNDX;IMOEX;21.03.2011;Индекс МосБиржи;Индекс МосБиржи;1753,19;1747,32;1760,99;1742,24;51573538408;;;2;;RUB;;3;
SNDX;IMOEX;22.03.2011;Индекс МосБиржи;Индекс МосБиржи;1741,34;1753,18;1753,36;1730,35;54959531002;;;2;;RUB;;3;
SNDX;IMOEX;23.03.2011;Индекс МосБиржи;Индекс МосБиржи;1770,56;1741,25;1770,77;1732,61;59628295031;;;2;;RUB;;3;
SNDX;IMOEX;24.03.2011;Индекс МосБиржи;Индекс МосБиржи;1795,4;1770,58;1795,66;1770,58;83150142101;;;2;;RUB;;3;
SNDX;IMOEX;25.03.2011;Индекс МосБиржи;Индекс МосБиржи;1807,46;1795,4;1808,61;1788,19;68222474330;;;2;;RUB;;3;
SNDX;IMOEX;28.03.2011;Индекс МосБиржи;Индекс МосБиржи;1810,9;1807,53;1813,21;1799,84;42839405556;;;2;;RUB;;3;
SNDX;IMOEX;29.03.2011;Индекс МосБиржи;Индекс МосБиржи;1788,14;1810,74;1813,82;1781,2;57116796431;;;2;;RUB;;3;
SNDX;IMOEX;30.03.2011;Индекс МосБиржи;Индекс МосБиржи;1815,6;1788,17;1817,26;1788,17;54955112573;;;2;;RUB;;3;
SNDX;IMOEX;31.03.2011;Индекс МосБиржи;Индекс МосБиржи;1813,59;1815,6;1820,16;1802,55;51943501334;;;2;;RUB;;3;
SNDX;IMOEX;01.04.2011;Индекс МосБиржи;Индекс МосБиржи;1843,43;1813,59;1844,75;1806,03;68120337228;;;2;;RUB;;3;
SNDX;IMOEX;04.04.2011;Индекс МосБиржи;Индекс МосБиржи;1852,02;1843,43;1858,78;1841,25;71307551924;;;2;;RUB;;3;
SNDX;IMOEX;05.04.2011;Индекс МосБиржи;Индекс МосБиржи;1848,21;1852,06;1863,35;1835,88;62966153703;;;2;;RUB;;3;
SNDX;IMOEX;06.04.2011;Индекс МосБиржи;Индекс МосБиржи;1859,99;1848,21;1865,3;1844,89;56690860758;;;2;;RUB;;3;
SNDX;IMOEX;07.04.2011;Индекс МосБиржи;Индекс МосБиржи;1844,33;1859,99;1859,99;1839,35;48935561848;;;2;;RUB;;3;
SNDX;IMOEX;08.04.2011;Индекс МосБиржи;Индекс МосБиржи;1855,97;1844,33;1860,01;1844,33;58771788699;;;2;;RUB;;3;
